   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
   7    4   -8   1.090653    16.878375    -0.000000      16.8784   -1.#IND0   -1.#IND0    4
   1   14    6   1.090362    51.364215    -0.000000      51.3642   -1.#IND0   -1.#IND0    4
   7    1    0   1.089922    -6.893866     0.000000      6.89387   -1.#IND0   -1.#IND0    4
   5    6  -12   1.089841   -14.503221    -0.000000      14.5032   -1.#IND0   -1.#IND0    4
   4    0  -14   1.089794     7.497170     0.000000      7.49717   -1.#IND0   -1.#IND0    2
   6    0  -12   1.089716   -27.802042    -0.000000       27.802   -1.#IND0   -1.#IND0    2
   7    5   -7   1.089510   -17.340068    -0.000000      17.3401   -1.#IND0   -1.#IND0    4
   5    3  -13   1.089487    15.325884    -0.000000      15.3259   -1.#IND0   -1.#IND0    4
   5   10   -9   1.089349    -9.433551    -0.000000      9.43355   -1.#IND0   -1.#IND0    4
   6    1    4   1.089179    -4.508540     0.000000      4.50854   -1.#IND0   -1.#IND0    4
   1    5   12   1.089047   -35.244356    -0.000000      35.2444   -1.#IND0   -1.#IND0    4
   5   12   -5   1.088472   -12.489221    -0.000000      12.4892   -1.#IND0   -1.#IND0    4
   2   13    6   1.088194   -26.987229     0.000000      26.9872   -1.#IND0   -1.#IND0    4
   4   12    3   1.087969   -11.725839    -0.000000      11.7258   -1.#IND0   -1.#IND0    4
   4    1  -14   1.087757     7.051760    -0.000000      7.05176   -1.#IND0   -1.#IND0    4
   6    1  -12   1.087679    13.444657     0.000000      13.4447   -1.#IND0   -1.#IND0    4
   5   11    1   1.087555   -10.901081     0.000000      10.9011   -1.#IND0   -1.#IND0    4
   3   15   -2   1.087449    -2.435476     0.000000      2.43548   -1.#IND0   -1.#IND0    4
   1    0  -14   1.087309    -1.240474     0.000000      1.24047   -1.#IND0   -1.#IND0    2
   4    9    6   1.086849    -9.549619     0.000000      9.54962   -1.#IND0   -1.#IND0    4
   0   14    7   1.086246   -26.419440     0.000000      26.4194   -1.#IND0   -1.#IND0    4
   2    9  -12   1.086001   -10.427312     0.000000      10.4273   -1.#IND0   -1.#IND0    4
   1   16   -3   1.085595    17.017758     0.000000      17.0178   -1.#IND0   -1.#IND0    4
   2   11    8   1.085549     8.480639    -0.000000      8.48064   -1.#IND0   -1.#IND0    4
   6    5    3   1.085437    10.699408     0.000000      10.6994   -1.#IND0   -1.#IND0    4
   1    1  -14   1.085286   -12.853264    -0.000000      12.8533   -1.#IND0   -1.#IND0    4
   0   11   10   1.085267   -43.664104    -0.000000      43.6641   -1.#IND0   -1.#IND0    4
   2    5   11   1.085227    -7.909949     0.000000      7.90995   -1.#IND0   -1.#IND0    4
   7    5   -2   1.085052    17.206659    -0.000000      17.2067   -1.#IND0   -1.#IND0    4
   0   16    3   1.084639     8.998291    -0.000000      8.99829   -1.#IND0   -1.#IND0    4
   3   15   -1   1.084504    -9.212051    -0.000000      9.21205   -1.#IND0   -1.#IND0    4
   4    5    8   1.084489   -21.059103    -0.000000      21.0591   -1.#IND0   -1.#IND0    4
   3   15   -3   1.084411    12.968633     0.000000      12.9686   -1.#IND0   -1.#IND0    4
   7    4   -1   1.084407     2.777027    -0.000000      2.77703   -1.#IND0   -1.#IND0    4
   4    8  -12   1.084197     1.620380     0.000000      1.62038   -1.#IND0   -1.#IND0    4
   6    5  -11   1.084138    25.369146     0.000000      25.3691   -1.#IND0   -1.#IND0    4
   2    7  -13   1.083844   -11.431235     0.000000      11.4312   -1.#IND0   -1.#IND0    4
   7    2    0   1.083843    27.236875    -0.000000      27.2369   -1.#IND0   -1.#IND0    4
   7    6   -5   1.083441    -1.136892    -0.000000      1.13689   -1.#IND0   -1.#IND0    4
   6    2    4   1.083113   -16.275759     0.000000      16.2758   -1.#IND0   -1.#IND0    4
   1    8   11   1.082998    11.795768    -0.000000      11.7958   -1.#IND0   -1.#IND0    4
   7    6   -4   1.082560    13.171955     0.000000       13.172   -1.#IND0   -1.#IND0    4
   5    8  -11   1.082186    42.813667     0.000000      42.8137   -1.#IND0   -1.#IND0    4
   4    6  -13   1.081913     2.266136    -0.000000      2.26614   -1.#IND0   -1.#IND0    4
   5    7    5   1.081840    -2.441515     0.000000      2.44151   -1.#IND0   -1.#IND0    4
   7    3   -9   1.081753    10.345381     0.000000      10.3454   -1.#IND0   -1.#IND0    4
   3    7    9   1.081736     6.498853     0.000000      6.49885   -1.#IND0   -1.#IND0    4
   4    2  -14   1.081715    31.022000     0.000000       31.022   -1.#IND0   -1.#IND0    4
   6    2  -12   1.081638    41.901810     0.000000      41.9018   -1.#IND0   -1.#IND0    4
   5   12   -1   1.080833    -7.537460    -0.000000      7.53746   -1.#IND0   -1.#IND0    4
   1   16    2   1.080725   -28.875333     0.000000      28.8753   -1.#IND0   -1.#IND0    4
   3    7  -13   1.080725     3.556160    -0.000000      3.55616   -1.#IND0   -1.#IND0    4
   3    9    8   1.079861    27.548993     0.000000       27.549   -1.#IND0   -1.#IND0    4
   6   10   -4   1.079834     3.255044    -0.000000      3.25504   -1.#IND0   -1.#IND0    4
   3    4   10   1.079706   -16.531708     0.000000      16.5317   -1.#IND0   -1.#IND0    4
   2   15    3   1.079667     2.463506    -0.000000      2.46351   -1.#IND0   -1.#IND0    4
   1   15   -6   1.079459   -47.158706     0.000000      47.1587   -1.#IND0   -1.#IND0    4
   1    2  -14   1.079285    72.027142     0.000000      72.0271   -1.#IND0   -1.#IND0    4
   3    9  -12   1.078946   -26.633385     0.000000      26.6334   -1.#IND0   -1.#IND0    4
   3    4  -14   1.078610    27.603097     0.000000      27.6031   -1.#IND0   -1.#IND0    4
   7    6   -6   1.078418    28.834170     0.000000      28.8342   -1.#IND0   -1.#IND0    4
   6    8    1   1.078303    57.947958    -0.000000       57.948   -1.#IND0   -1.#IND0    4
   4   14   -3   1.078301    28.437408    -0.000000      28.4374   -1.#IND0   -1.#IND0    4
   5   11   -8   1.077968   -20.743167     0.000000      20.7432   -1.#IND0   -1.#IND0    4
   2    4  -14   1.077805   -11.180487    -0.000000      11.1805   -1.#IND0   -1.#IND0    4
   5    5    6   1.077648    -6.164441     0.000000      6.16444   -1.#IND0   -1.#IND0    4
   6    8   -9   1.077393     0.480728    -0.000000     0.480728   -1.#IND0   -1.#IND0    4
   4   14   -2   1.077387    28.489272    -0.000000      28.4893   -1.#IND0   -1.#IND0    4
   2    8   10   1.077274    19.335144    -0.000000      19.3351   -1.#IND0   -1.#IND0    4
   1   10   10   1.077128    22.200919    -0.000000      22.2009   -1.#IND0   -1.#IND0    4
   6   10   -3   1.076995    15.414865    -0.000000      15.4149   -1.#IND0   -1.#IND0    4
   4   13   -7   1.076818     8.967112     0.000000      8.96711   -1.#IND0   -1.#IND0    4
   6   10   -5   1.076814    16.514388    -0.000000      16.5144   -1.#IND0   -1.#IND0    4
   6    7    2   1.075868    11.228334    -0.000000      11.2283   -1.#IND0   -1.#IND0    4
   7    6   -3   1.075817     4.602468    -0.000000      4.60247   -1.#IND0   -1.#IND0    4
   3   15    0   1.075720    -0.390550    -0.000000      0.39055   -1.#IND0   -1.#IND0    4
   5   12   -6   1.075574     4.792398     0.000000       4.7924   -1.#IND0   -1.#IND0    4
   3   15   -4   1.075539   -42.261075     0.000000      42.2611   -1.#IND0   -1.#IND0    4
   5    4  -13   1.075476     0.155170     0.000000      0.15517   -1.#IND0   -1.#IND0    4
   6    7  -10   1.074783   -28.854830    -0.000000      28.8548   -1.#IND0   -1.#IND0    4
   2   14    5   1.074649   -38.978401    -0.000000      38.9784   -1.#IND0   -1.#IND0    4
   2   12  -10   1.074583    25.962563    -0.000000      25.9626   -1.#IND0   -1.#IND0    4
   7    3    0   1.073935    -1.598060    -0.000000      1.59806   -1.#IND0   -1.#IND0    4
   4   14   -4   1.073393    45.111872    -0.000000      45.1119   -1.#IND0   -1.#IND0    4
   6    3    4   1.073224     1.300595     0.000000       1.3006   -1.#IND0   -1.#IND0    4
   0    5   13   1.073117    41.119121    -0.000000      41.1191   -1.#IND0   -1.#IND0    4
   2   13   -9   1.073001     4.346955    -0.000000      4.34696   -1.#IND0   -1.#IND0    4
   2   16   -1   1.072913     5.070656    -0.000000      5.07066   -1.#IND0   -1.#IND0    4
   7    5   -8   1.072681    -3.376714     0.000000      3.37671   -1.#IND0   -1.#IND0    4
   2   16   -2   1.071923   -14.153076     0.000000      14.1531   -1.#IND0   -1.#IND0    4
   4    3  -14   1.071864   -41.814565    -0.000000      41.8146   -1.#IND0   -1.#IND0    4
   6    3  -12   1.071789    12.990137     0.000000      12.9901   -1.#IND0   -1.#IND0    4
   3   14    3   1.071788    -7.674154     0.000000      7.67415   -1.#IND0   -1.#IND0    4
   1    9  -12   1.071499    16.743734     0.000000      16.7437   -1.#IND0   -1.#IND0    4
   3   14   -7   1.071341    36.719865    -0.000000      36.7199   -1.#IND0   -1.#IND0    4
   7    0  -10   1.071200   -47.860095    -0.000000      47.8601   -1.#IND0   -1.#IND0    2
   6    9    0   1.071007    -1.603451     0.000000      1.60345   -1.#IND0   -1.#IND0    4
   4   14   -1   1.070694   -14.352805     0.000000      14.3528   -1.#IND0   -1.#IND0    4
   2   15   -6   1.070687   -15.684849     0.000000      15.6848   -1.#IND0   -1.#IND0    4
   6    9   -8   1.070293    10.897252    -0.000000      10.8973   -1.#IND0   -1.#IND0    4
   1   13   -9   1.070236    16.522790    -0.000000      16.5228   -1.#IND0   -1.#IND0    4
   2   10    9   1.069571    -5.593255    -0.000000      5.59325   -1.#IND0   -1.#IND0    4
   1    3  -14   1.069499   -28.887150     0.000000      28.8872   -1.#IND0   -1.#IND0    4
   7    1  -10   1.069265     3.215374    -0.000000      3.21537   -1.#IND0   -1.#IND0    4
   0    8   12   1.069242    13.159291    -0.000000      13.1593   -1.#IND0   -1.#IND0    4
   4   11  -10   1.069224    -1.777085     0.000000      1.77708   -1.#IND0   -1.#IND0    4
   1   16   -4   1.069033    -0.706267    -0.000000     0.706267   -1.#IND0   -1.#IND0    4
   1   15    5   1.069008     6.446722    -0.000000      6.44672   -1.#IND0   -1.#IND0    4
   4   13    2   1.068706     0.255242     0.000000     0.255242   -1.#IND0   -1.#IND0    4
   6   10   -2   1.068436    11.875408     0.000000      11.8754   -1.#IND0   -1.#IND0    4
   2   16    0   1.068167   -19.076135     0.000000      19.0761   -1.#IND0   -1.#IND0    4
   6   10   -6   1.068081    13.070557    -0.000000      13.0706   -1.#IND0   -1.#IND0    4
   7    4   -9   1.068035    -4.427699     0.000000       4.4277   -1.#IND0   -1.#IND0    4
   1   12  -10   1.068007    26.043533     0.000000      26.0435   -1.#IND0   -1.#IND0    4
   5    1    7   1.067773   -17.720221     0.000000      17.7202   -1.#IND0   -1.#IND0    4
   7    6   -7   1.067731    -0.831517     0.000000     0.831517   -1.#IND0   -1.#IND0    4
   1    6   12   1.067295    26.424620     0.000000      26.4246   -1.#IND0   -1.#IND0    4
   0   15    6   1.067030     8.242451     0.000000      8.24245   -1.#IND0   -1.#IND0    4
   4    8    7   1.066939   -18.563406     0.000000      18.5634   -1.#IND0   -1.#IND0    4
   5   10    3   1.066850    34.582767     0.000000      34.5828   -1.#IND0   -1.#IND0    4
   4    1    9   1.066768   -40.279075     0.000000      40.2791   -1.#IND0   -1.#IND0    4
   7    5   -1   1.066737    17.678485    -0.000000      17.6785   -1.#IND0   -1.#IND0    4
   2   11  -11   1.066547    -9.627040     0.000000      9.62704   -1.#IND0   -1.#IND0    4
   1    7  -13   1.065653   -14.146385    -0.000000      14.1464   -1.#IND0   -1.#IND0    4
   0   10   11   1.065485    -0.363049     0.000000     0.363049   -1.#IND0   -1.#IND0    4
   2   16   -3   1.065243     3.645621    -0.000000      3.64562   -1.#IND0   -1.#IND0    4
   4   10  -11   1.064969   -12.176122    -0.000000      12.1761   -1.#IND0   -1.#IND0    4
   5    9    4   1.064578    -8.304408    -0.000000      8.30441   -1.#IND0   -1.#IND0    4
   5   12    0   1.064572     1.061459     0.000000      1.06146   -1.#IND0   -1.#IND0    4
   0   16    4   1.064359    -9.535916     0.000000      9.53592   -1.#IND0   -1.#IND0    4
   5    7  -12   1.064218   -43.738765    -0.000000      43.7388   -1.#IND0   -1.#IND0    4
   4   12   -9   1.063974    21.294739    -0.000000      21.2947   -1.#IND0   -1.#IND0    4
   6    6    3   1.063896   -43.079003     0.000000       43.079   -1.#IND0   -1.#IND0    4
   2    6   11   1.063698   -19.550857    -0.000000      19.5509   -1.#IND0   -1.#IND0    4
   7    6   -2   1.063534    13.161388    -0.000000      13.1614   -1.#IND0   -1.#IND0    4
   7    2  -10   1.063524     4.428337     0.000000      4.42834   -1.#IND0   -1.#IND0    4
   4    6    8   1.063004   -13.226306     0.000000      13.2263   -1.#IND0   -1.#IND0    4
   1   14   -8   1.062952    30.210269    -0.000000      30.2103   -1.#IND0   -1.#IND0    4
   4   14   -5   1.062897    15.528695    -0.000000      15.5287   -1.#IND0   -1.#IND0    4
   6    6  -11   1.062673   -24.935822     0.000000      24.9358   -1.#IND0   -1.#IND0    4
   1   16    3   1.062538   -13.772197     0.000000      13.7722   -1.#IND0   -1.#IND0    4
   3    5   10   1.062261   -13.060834     0.000000      13.0608   -1.#IND0   -1.#IND0    4
   5    2    7   1.062055    -1.556358     0.000000      1.55636   -1.#IND0   -1.#IND0    4
   2   14   -8   1.061926    15.917127    -0.000000      15.9171   -1.#IND0   -1.#IND0    4
   3   15    1   1.061514    18.673645    -0.000000      18.6736   -1.#IND0   -1.#IND0    4
   3   15   -5   1.061254    -0.951655     0.000000     0.951655   -1.#IND0   -1.#IND0    4
   3    5  -14   1.061217    42.928939     0.000000      42.9289   -1.#IND0   -1.#IND0    4
   4    2    9   1.061067    -9.344980     0.000000      9.34498   -1.#IND0   -1.#IND0    4
   3   12    6   1.060968    17.170953    -0.000000       17.171   -1.#IND0   -1.#IND0    4
   7    4    0   1.060508    47.187210    -0.000000      47.1872   -1.#IND0   -1.#IND0    4
   2    5  -14   1.060450    11.788341     0.000000      11.7883   -1.#IND0   -1.#IND0    4
   3   12  -10   1.060274    20.718579    -0.000000      20.7186   -1.#IND0   -1.#IND0    4
   7    1    1   1.060056     7.445045    -0.000000      7.44505   -1.#IND0   -1.#IND0    4
   2    0   12   1.059970   -41.062400     0.000000      41.0624   -1.#IND0   -1.#IND0    2
   6    4    4   1.059824    -9.732112     0.000000      9.73211   -1.#IND0   -1.#IND0    4
   1    1   13   1.059762   -18.349374     0.000000      18.3494   -1.#IND0   -1.#IND0    4
   5   11    2   1.059697    16.899096     0.000000      16.8991   -1.#IND0   -1.#IND0    4
   4   14    0   1.058541    39.909756    -0.000000      39.9098   -1.#IND0   -1.#IND0    4
   4    4  -14   1.058514     2.637743    -0.000000      2.63774   -1.#IND0   -1.#IND0    4
   6    4  -12   1.058442    23.146608     0.000000      23.1466   -1.#IND0   -1.#IND0    4
   7    7   -5   1.058257    12.762525    -0.000000      12.7625   -1.#IND0   -1.#IND0    4
   5    5  -13   1.058233    14.699467     0.000000      14.6995   -1.#IND0   -1.#IND0    4
   2    1   12   1.058095    10.420803    -0.000000      10.4208   -1.#IND0   -1.#IND0    4
   2   16    1   1.057908     4.090352    -0.000000      4.09035   -1.#IND0   -1.#IND0    4
   5   12   -7   1.057555   -14.646256    -0.000000      14.6463   -1.#IND0   -1.#IND0    4
   7    7   -4   1.057435   -36.799014     0.000000       36.799   -1.#IND0   -1.#IND0    4
   3   11    7   1.056960    36.322758    -0.000000      36.3228   -1.#IND0   -1.#IND0    4
   4    7  -13   1.056833   -33.696250    -0.000000      33.6962   -1.#IND0   -1.#IND0    4
   5    6    6   1.056559    13.283920    -0.000000      13.2839   -1.#IND0   -1.#IND0    4
   1   11  -11   1.056440   -14.244132     0.000000      14.2441   -1.#IND0   -1.#IND0    4
   1    4  -14   1.056237    18.797824     0.000000      18.7978   -1.#IND0   -1.#IND0    4
   3   11  -11   1.056189   -17.650878     0.000000      17.6509   -1.#IND0   -1.#IND0    4
   4   11    5   1.056083    10.747609    -0.000000      10.7476   -1.#IND0   -1.#IND0    4
   3   13    5   1.055690   -15.625925     0.000000      15.6259   -1.#IND0   -1.#IND0    4
   3   13   -9   1.055091    -4.587240     0.000000      4.58724   -1.#IND0   -1.#IND0    4
   2    8  -13   1.054907     8.022786     0.000000      8.02279   -1.#IND0   -1.#IND0    4
   1   13    8   1.054613   -31.459867    -0.000000      31.4599   -1.#IND0   -1.#IND0    4
   6   10   -1   1.054556   -23.901419     0.000000      23.9014   -1.#IND0   -1.#IND0    4
   7    2    1   1.054461     3.770778    -0.000000      3.77078   -1.#IND0   -1.#IND0    4
   1    2   13   1.054172    -9.677757    -0.000000      9.67776   -1.#IND0   -1.#IND0    4
   7    3  -10   1.054157     8.821562    -0.000000      8.82156   -1.#IND0   -1.#IND0    4
   6   10   -7   1.054045    17.083080    -0.000000      17.0831   -1.#IND0   -1.#IND0    4
   5   10  -10   1.053846    34.605637     0.000000      34.6056   -1.#IND0   -1.#IND0    4
   7    7   -6   1.053574    26.784582    -0.000000      26.7846   -1.#IND0   -1.#IND0    4
   2   16   -4   1.053187    -3.273636    -0.000000      3.27364   -1.#IND0   -1.#IND0    4
   5    8    5   1.053059    -9.989777     0.000000      9.98978   -1.#IND0   -1.#IND0    4
   3    8    9   1.052963   -39.589193    -0.000000      39.5892   -1.#IND0   -1.#IND0    4
   5    3    7   1.052727   -13.127557     0.000000      13.1276   -1.#IND0   -1.#IND0    4
   4   12    4   1.052723    17.193601    -0.000000      17.1936   -1.#IND0   -1.#IND0    4
   2    2   12   1.052531    -0.786319     0.000000     0.786319   -1.#IND0   -1.#IND0    4
   2   15    4   1.052354     9.906859    -0.000000      9.90686   -1.#IND0   -1.#IND0    4
   0    6   13   1.052288    -9.498080    -0.000000      9.49808   -1.#IND0   -1.#IND0    4
   3    8  -13   1.052031   -14.680418     0.000000      14.6804   -1.#IND0   -1.#IND0    4
   7    6   -8   1.051877    19.473927     0.000000      19.4739   -1.#IND0   -1.#IND0    4
   4    3    9   1.051765   -38.972300     0.000000      38.9723   -1.#IND0   -1.#IND0    4
   4    9  -12   1.051544    29.869066     0.000000      29.8691   -1.#IND0   -1.#IND0    4
   7    7   -3   1.051148   -32.463690     0.000000      32.4637   -1.#IND0   -1.#IND0    4
   7    5   -9   1.051141    -0.387753     0.000000     0.387753   -1.#IND0   -1.#IND0    4
   1   12    9   1.050697    28.275014     0.000000       28.275   -1.#IND0   -1.#IND0    4
   1    9   11   1.050450    11.819930    -0.000000      11.8199   -1.#IND0   -1.#IND0    4
   4   10    6   1.050287    11.926565     0.000000      11.9266   -1.#IND0   -1.#IND0    4
   5    9  -11   1.049709    -3.915735     0.000000      3.91574   -1.#IND0   -1.#IND0    4
   4   13   -8   1.049631    14.406961    -0.000000       14.407   -1.#IND0   -1.#IND0    4
   2   10  -12   1.049521    26.200798     0.000000      26.2008   -1.#IND0   -1.#IND0    4
   1   14    7   1.049408   -34.272037    -0.000000       34.272   -1.#IND0   -1.#IND0    4
   5   11   -9   1.048881    -6.667928     0.000000      6.66793   -1.#IND0   -1.#IND0    4
   5    0  -14   1.048761    -7.622344    -0.000000      7.62234   -1.#IND0   -1.#IND0    2
   5   13   -3   1.048141   -10.177399     0.000000      10.1774   -1.#IND0   -1.#IND0    4
   1   16   -5   1.047791     8.946301    -0.000000       8.9463   -1.#IND0   -1.#IND0    4
   6    8    2   1.047549    40.641593    -0.000000      40.6416   -1.#IND0   -1.#IND0    4
   4   14   -6   1.047296    32.085754    -0.000000      32.0858   -1.#IND0   -1.#IND0    4
   0   13    9   1.047263   -23.025526     0.000000      23.0255   -1.#IND0   -1.#IND0    4
   5   13   -4   1.047176    14.014389    -0.000000      14.0144   -1.#IND0   -1.#IND0    4
   5    1  -14   1.046945    14.102814    -0.000000      14.1028   -1.#IND0   -1.#IND0    4
   1   15   -7   1.046721    -1.574805     0.000000       1.5748   -1.#IND0   -1.#IND0    4
   6    8  -10   1.046547     7.372126    -0.000000      7.37213   -1.#IND0   -1.#IND0    4
   7    6   -1   1.046270    14.607751    -0.000000      14.6078   -1.#IND0   -1.#IND0    4
   6    9    1   1.046164     1.516916    -0.000000      1.51692   -1.#IND0   -1.#IND0    4
   6    9   -9   1.045332    -4.559317     0.000000      4.55932   -1.#IND0   -1.#IND0    4
   7    3    1   1.045330    15.492087    -0.000000      15.4921   -1.#IND0   -1.#IND0    4
   2    9   10   1.045224     1.961033    -0.000000      1.96103   -1.#IND0   -1.#IND0    4
   0    0   14   1.045076    -7.121643     0.000000      7.12164   -1.#IND0   -1.#IND0    2
   1    3   13   1.045048   -21.725853     0.000000      21.7259   -1.#IND0   -1.#IND0    4
   0   17    1   1.044388    -2.478286     0.000000      2.47829   -1.#IND0   -1.#IND0    4
   3   10    8   1.043976    21.706564    -0.000000      21.7066   -1.#IND0   -1.#IND0    4
   7    5    0   1.043964    -3.169049    -0.000000      3.16905   -1.#IND0   -1.#IND0    4
   0   14    8   1.043947     7.235246     0.000000      7.23525   -1.#IND0   -1.#IND0    4
   2   13    7   1.043927    -8.280083     0.000000      8.28008   -1.#IND0   -1.#IND0    4
   5   13   -2   1.043756    25.532434    -0.000000      25.5324   -1.#IND0   -1.#IND0    4
   5   12    1   1.043672   -25.727675    -0.000000      25.7277   -1.#IND0   -1.#IND0    4
   7    7   -7   1.043602   -10.247178     0.000000      10.2472   -1.#IND0   -1.#IND0    4
   2    3   12   1.043450    -7.438816     0.000000      7.43882   -1.#IND0   -1.#IND0    4
   6    5    4   1.043311    -2.122131     0.000000      2.12213   -1.#IND0   -1.#IND0    4
   0    1   14   1.043280    -4.252900    -0.000000       4.2529   -1.#IND0   -1.#IND0    4
   1    7   12   1.043195   -40.328919     0.000000      40.3289   -1.#IND0   -1.#IND0    4
   3   10  -12   1.043150    34.381643     0.000000      34.3816   -1.#IND0   -1.#IND0    4
   2   16    2   1.042605     9.229355    -0.000000      9.22935   -1.#IND0   -1.#IND0    4
   3   15    2   1.042523   -12.714173    -0.000000      12.7142   -1.#IND0   -1.#IND0    4
   2   15   -7   1.042211     9.551874     0.000000      9.55187   -1.#IND0   -1.#IND0    4
   3   15   -6   1.042194    -4.984471     0.000000      4.98447   -1.#IND0   -1.#IND0    4
   4    5  -14   1.042061    -7.931165    -0.000000      7.93117   -1.#IND0   -1.#IND0    4
   3    6   10   1.042046    -2.298900     0.000000       2.2989   -1.#IND0   -1.#IND0    4
   6    5  -12   1.041993    39.093708     0.000000      39.0937   -1.#IND0   -1.#IND0    4
   2   12    8   1.041899    13.811392    -0.000000      13.8114   -1.#IND0   -1.#IND0    4
   0   12   10   1.041650    17.890502    -0.000000      17.8905   -1.#IND0   -1.#IND0    4
   5    2  -14   1.041554    36.544180     0.000000      36.5442   -1.#IND0   -1.#IND0    4
   3   14    4   1.041531    43.172286    -0.000000      43.1723   -1.#IND0   -1.#IND0    4
   4   14    1   1.041474    17.133135    -0.000000      17.1331   -1.#IND0   -1.#IND0    4
   7    4  -10   1.041451   -11.769822     0.000000      11.7698   -1.#IND0   -1.#IND0    4
   6    1    5   1.041317     1.417138    -0.000000      1.41714   -1.#IND0   -1.#IND0    4
   3    6  -14   1.041060    26.980450     0.000000      26.9804   -1.#IND0   -1.#IND0    4
   3   14   -8   1.041039    23.386841    -0.000000      23.3868   -1.#IND0   -1.#IND0    4
   5   13   -5   1.040905     7.632175    -0.000000      7.63217   -1.#IND0   -1.#IND0    4
   4   13    3   1.040465    -7.971643     0.000000      7.97164   -1.#IND0   -1.#IND0    4
   6   11   -4   1.040379    18.316251    -0.000000      18.3163   -1.#IND0   -1.#IND0    4
   2    6  -14   1.040336    18.582530     0.000000      18.5825   -1.#IND0   -1.#IND0    4
   5    4    7   1.040072     2.061760     0.000000      2.06176   -1.#IND0   -1.#IND0    4
   6    7    3   1.040020    17.464826     0.000000      17.4648   -1.#IND0   -1.#IND0    4
   1   16    4   1.039945   -12.789865     0.000000      12.7899   -1.#IND0   -1.#IND0    4
   1    5  -14   1.039888    -0.761811     0.000000     0.761811   -1.#IND0   -1.#IND0    4
   0   16    5   1.039883    -7.580735    -0.000000      7.58074   -1.#IND0   -1.#IND0    4
   6    1  -13   1.039843   -29.012932    -0.000000      29.0129   -1.#IND0   -1.#IND0    4
   2    7   11   1.039836    -0.438092     0.000000     0.438092   -1.#IND0   -1.#IND0    4
   7    7   -2   1.039682    15.656047     0.000000       15.656   -1.#IND0   -1.#IND0    4
   4    7    8   1.039187   -20.336993     0.000000       20.337   -1.#IND0   -1.#IND0    4
   4    4    9   1.039143    14.163910    -0.000000      14.1639   -1.#IND0   -1.#IND0    4
   6    7  -11   1.038878    20.597464     0.000000      20.5975   -1.#IND0   -1.#IND0    4
   3    1   11   1.038530   -32.114511     0.000000      32.1145   -1.#IND0   -1.#IND0    4
   5    6  -13   1.038242   -26.094260     0.000000      26.0943   -1.#IND0   -1.#IND0    4
   1   17   -1   1.038228     0.537966     0.000000     0.537966   -1.#IND0   -1.#IND0    4
   1    8  -13   1.038112   -20.760910    -0.000000      20.7609   -1.#IND0   -1.#IND0    4
   1   11   10   1.037959    21.906118     0.000000      21.9061   -1.#IND0   -1.#IND0    4
   0    2   14   1.037945    44.868262    -0.000000      44.8683   -1.#IND0   -1.#IND0    4
   0    9   12   1.037883    39.374862     0.000000      39.3749   -1.#IND0   -1.#IND0    4
   6   11   -3   1.037840     8.321265    -0.000000      8.32127   -1.#IND0   -1.#IND0    4
   6   11   -5   1.037678     1.822095    -0.000000       1.8221   -1.#IND0   -1.#IND0    4
   3    1  -15   1.037473     3.689182     0.000000      3.68918   -1.#IND0   -1.#IND0    4
   1   17    0   1.037371   -14.376130    -0.000000      14.3761   -1.#IND0   -1.#IND0    4
   7    1  -11   1.037337   -33.011759    -0.000000      33.0118   -1.#IND0   -1.#IND0    4
   2   14    6   1.037123    31.358202    -0.000000      31.3582   -1.#IND0   -1.#IND0    4
   5    8  -12   1.036785    -3.446017    -0.000000      3.44602   -1.#IND0   -1.#IND0    4
   0   17    2   1.036496     3.576948    -0.000000      3.57695   -1.#IND0   -1.#IND0    4
   1   10  -12   1.036415    17.572729     0.000000      17.5727   -1.#IND0   -1.#IND0    4
   2   16   -5   1.036293    19.135721    -0.000000      19.1357   -1.#IND0   -1.#IND0    4
   6    2    5   1.036013    10.941501    -0.000000      10.9415   -1.#IND0   -1.#IND0    4
   6   10    0   1.035970     5.940094    -0.000000      5.94009   -1.#IND0   -1.#IND0    4
   4    9    7   1.035776    -8.211579     0.000000      8.21158   -1.#IND0   -1.#IND0    4
   1   15    6   1.035478    30.787694     0.000000      30.7877   -1.#IND0   -1.#IND0    4
   6   10   -8   1.035324    12.050934    -0.000000      12.0509   -1.#IND0   -1.#IND0    4
   5   12   -8   1.035191    35.448294     0.000000      35.4483   -1.#IND0   -1.#IND0    4
   6    2  -13   1.034561    11.538396     0.000000      11.5384   -1.#IND0   -1.#IND0    4
   5   13   -1   1.034218   -12.622852    -0.000000      12.6229   -1.#IND0   -1.#IND0    4
   1   17   -2   1.033885   -12.144695     0.000000      12.1447   -1.#IND0   -1.#IND0    4
   2    1  -15   1.033317   -12.906208    -0.000000      12.9062   -1.#IND0   -1.#IND0    4
   3    2   11   1.033267     1.558327     0.000000      1.55833   -1.#IND0   -1.#IND0    4
   5    7    6   1.033163    -0.598078    -0.000000     0.598078   -1.#IND0   -1.#IND0    4
   7    4    1   1.032936   -13.175591    -0.000000      13.1756   -1.#IND0   -1.#IND0    4
   5    3  -14   1.032752     0.353129     0.000000     0.353129   -1.#IND0   -1.#IND0    4
   1    4   13   1.032664     6.203118    -0.000000      6.20312   -1.#IND0   -1.#IND0    4
   3    2  -15   1.032226    -8.933835    -0.000000      8.93383   -1.#IND0   -1.#IND0    4
