   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
   1    5    1   3.058589    11.305771    -0.000000      11.3058   46.40382    0.11212    4
   2    4   -1   2.998501    17.129328    -0.000000      17.1293   47.38996    0.24827    4
   2    0    2   2.988556    39.975301    -0.000000      39.9753   47.55736    0.67204    2
   2    4   -2   2.977089    39.226019     0.000000       39.226   47.75190    1.28523    4
   0    6    0   2.966667    37.567250    -0.000000      37.5673   47.93016    0.58570    2
   2    3    1   2.962441    18.440251     0.000000      18.4403   48.00282    0.28152    4
   2    1    2   2.947303     6.197183     0.000000      6.19718   48.26502    0.03150    4
   1    2   -5   2.942404    55.595406     0.000000      55.5954   48.35050    2.52779    4
   1    0    4   2.927595     9.577743    -0.000000      9.57774   48.61084    0.03717    2
   1    4   -4   2.916814    -2.012496     0.000000       2.0125   48.80221    0.00326    4
   0    6    1   2.907500   -60.159890     0.000000      60.1599   48.96880    2.89716    4
   2    4    0   2.899349    89.533262    -0.000000      89.5333   49.11555    6.38472    4
   1    5   -3   2.893400   -31.069935     0.000000      31.0699   49.22322    0.76605    4
   1    1    4   2.888784    19.680549     0.000000      19.6805   49.30712    0.30648    4
   0    1    5   2.887456    56.752887    -0.000000      56.7529   49.33130    2.54656    4
   0    5    3   2.875429   -70.843107     0.000000      70.8431   49.55151    3.93850    4
   2    3   -4   2.863293    -1.374143     0.000000      1.37414   49.77578    0.00147    4
   2    4   -3   2.842375   -34.042535    -0.000000      34.0425   50.16734    0.89089    4
   2    2    2   2.833096   -89.816856     0.000000      89.8169   50.34308    6.16547    4
   0    4    4   2.825702    42.802457    -0.000000      42.8025   50.48404    1.39370    4
   2    1   -5   2.813175    24.653518     0.000000      24.6535   50.72472    0.45874    4
   1    5    2   2.804813    25.504730    -0.000000      25.5047   50.88673    0.48837    4
   1    4    3   2.792147   -14.790445    -0.000000      14.7904   51.13416    0.16293    4
   1    6   -1   2.782028   -40.931499     0.000000      40.9315   51.33365    1.23980    4
   1    2    4   2.781002   -36.031449     0.000000      36.0314   51.35397    0.96010    4
   0    2    5   2.779817   -31.531494    -0.000000      31.5315   51.37745    0.73471    4
   1    6    0   2.765670   -76.380175     0.000000      76.3802   51.65958    4.27238    4
   1    3   -5   2.759901   -31.793304    -0.000000      31.7933   51.77555    0.73753    4
   0    6    2   2.749207   -19.421605     0.000000      19.4216   51.99197    0.27334    4
   3    0   -2   2.716664    15.155720    -0.000000      15.1557   52.66233    0.08150    2
   2    2   -5   2.713352    31.581115     0.000000      31.5811   52.73157    0.70626    4
   2    4    1   2.711237   -47.057595     0.000000      47.0576   52.77588    1.56594    4
   1    6   -2   2.701576    54.112394    -0.000000      54.1124   52.97928    2.05775    4
   3    1   -2   2.685566    -8.203223    -0.000000      8.20322   53.31998    0.04680    4
   2    5   -1   2.676172   -30.856897     0.000000      30.8569   53.52201    0.65816    4
   2    3    2   2.669095     3.854061     0.000000      3.85406   53.67529    0.01022    4
